VarName1,Name,Cmp,Wiki,Status,LiftoffThrust,PayloadtoLEO,Stages,Strapons,RocketHeight,Price,PayloadtoGTO,FairingDiameter,FairingHeight,Rocket_Category
382,"Thor DM-18 Able-IV",US Air Force,https://en.wikipedia.org/wiki/Thor-Able,Retired,NaN,0,3,0,NaN,NaN,0,NaN,NaN,Thor
383,"Thor-DM18 Agena-A",US Air Force,https://en.wikipedia.org/wiki/Thor-Agena,Retired,NaN,0,3,0,NaN,NaN,0,NaN,NaN,Thor
384,"Thor DM-19 Delta",US Air Force,https://en.wikipedia.org/wiki/Thor-Delta,Retired,NaN,0,0,3,NaN,NaN,0,NaN,NaN,Thor
385,"Thor-DM21 Ablestar",US Air Force,https://en.wikipedia.org/wiki/Thor-Ablestar,Retired,760,0.15,0,2,29,NaN,0,NaN,NaN,Thor
386,"Thor DM-21 Agena-B",US Air Force,https://en.wikipedia.org/wiki/Thor-Agena,Retired,NaN,0,3,0,NaN,NaN,0,NaN,NaN,Thor
387,"Thor DM-21 Agena-D",US Air Force,https://en.wikipedia.org/wiki/Thor-Agena,Retired,NaN,0,3,0,NaN,NaN,0,NaN,NaN,Thor
388,"Thor-DSV2A Ablestar",US Air Force,https://en.wikipedia.org/wiki/Thor-Ablestar,Retired,NaN,0,2,0,NaN,NaN,0,NaN,NaN,Thor
389,"Thor-SLV2A Agena-D",US Air Force,https://en.wikipedia.org/wiki/Thor-Agena,Retired,1571,0,2,3,31,NaN,0,NaN,NaN,Thor
390,"Titan 34D",Martin Marietta,https://en.wikipedia.org/wiki/Titan_34D#Specification,Retired,11279,14.515,3,2,50,NaN,5,3.05,NaN,Titan
391,"Titan II(23)G",Lockheed,https://en.wikipedia.org/wiki/Titan_23G,Retired,1900,3.6,2,NaN,42.9,35,0,3.05,9.1,Titan II
392,"Titan II GLV",NASA,https://en.wikipedia.org/wiki/Titan_II_GLV,Retired,1913,3.58,2,0,33.2,NaN,0,NaN,NaN,Titan II
393,"Titan III(23)B",US Air Force,https://en.wikipedia.org/wiki/Titan_IIIB#Titan_23B,Retired,2300,3.3,3,0,45,NaN,0,1.5,NaN,Titan III
394,"Titan III(23)C",US Air Force,https://en.wikipedia.org/wiki/Titan_IIIC,Retired,13642,13.1,3,2,42,NaN,3,3,NaN,Titan III
395,"Titan III(24)B",US Air Force,https://en.wikipedia.org/wiki/Titan_IIIB#Titan_24B,Retired,2410,4,3,0,50,NaN,0,3.05,NaN,Titan III
396,"Titan-III(33)B Agena-D",Martin Marietta,https://en.wikipedia.org/wiki/Titan_IIIB#Titan_33B,Retired,2300,0,3,NaN,45,NaN,0,3.05,NaN,Titan
397,"Titan III(34)B Agena-D",Martin Marietta,https://en.wikipedia.org/wiki/Titan_IIIB#Titan_34B,Retired,2300,0,3,NaN,45,NaN,0,3.05,NaN,Titan III
398,"Titan IIIA",US Air Force,https://en.wikipedia.org/wiki/Titan_IIIA,Retired,1936,3.1,3,0,42,63.23,0,NaN,NaN,Titan III
399,"Titan IIIB",US Air Force,https://en.wikipedia.org/wiki/Titan_IIIB,Retired,2300,3.3,3,0,45,59,0,1.52,NaN,Titan III
400,"Titan IIIC",US Air Force,https://en.wikipedia.org/wiki/Titan_IIIC,Retired,13642,13.1,3,2,42,NaN,3,3,NaN,Titan III
401,"Titan IIID",Martin Marietta,https://en.wikipedia.org/wiki/Titan_IIID,Retired,10587,12.3,2,2,36,NaN,0,NaN,NaN,Titan III
402,"Titan IIIE",Martin Marietta,https://en.wikipedia.org/wiki/Titan_IIIE,Retired,12769,15.4,3,2,48.8,NaN,0,NaN,NaN,Titan III
403,"Titan IV(401)A",Lockheed,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A,Retired,14200,0,3,2,63,NaN,0,5.1,NaN,Titan IV
404,"Titan IV(401)B",Lockheed,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B,Retired,15000,0,3,2,62,NaN,0,5.1,NaN,Titan IV
405,"Titan IV(402)A",Martin Marietta,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A,Retired,14200,0,4,2,54,NaN,4.944,5.1,NaN,Titan IV
406,"Titan IV(402)B",Lockheed,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B,Retired,15000,0,4,2,54,NaN,0,5.1,NaN,Titan IV
407,"Titan IV(403)A",Lockheed,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A,Retired,14200,17.7,2,2,54,NaN,0,5.1,NaN,Titan IV
408,"Titan IV(403)B",Lockheed,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B,Retired,15000,21.68,2,2,54,NaN,0,5.1,NaN,Titan IV
409,"Titan IV(404)A",Lockheed,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A,Retired,14200,17.7,2,2,54,NaN,0,5.1,NaN,Titan IV
410,"Titan IV(404)B",Lockheed,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B,Retired,15000,21.68,2,2,54,NaN,0,5.1,NaN,Titan IV
411,"Titan IV(405)A",Lockheed,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A,Retired,14200,17.7,2,2,54,NaN,0,5.1,NaN,Titan IV
412,"Titan IV(405)B",Lockheed,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B,Retired,15000,21.68,2,2,54,NaN,0,5.1,NaN,Titan IV
413,"Tsyklon",Yuzhmash,https://en.wikipedia.org/wiki/Tsyklon,Retired,2640,3,2,0,40,NaN,0,2,NaN,Tsyklon
414,"Tsyklon-2",Yuzhmash,https://en.wikipedia.org/wiki/Tsyklon-2,Retired,2640,2.82,3,0,NaN,NaN,0,2,NaN,Tsyklon
415,"Tsyklon-2A",Yuzhmash,https://en.wikipedia.org/wiki/Tsyklon,Retired,2640,3,2,0,NaN,NaN,0,2,NaN,Tsyklon
