Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Launch Site,Launch Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat 48D,Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,48.00,"35,764","35,808",5.22E-04,0.12,1436.08,"3,460",12/20/08,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,LEO,0.00,544,552,5.78E-04,97.90,96.2,215,4/25/07,2,Vandenberg AFB,Pegasus XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISat-1,Germany,German Aerospace Center (DLR),Government,Communications,LEO,0.00,643,660,1.21E-03,98.25,97.76,14,6/30/14,,Satish Dhawan Space Centre,PSLV-CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISSat-1,Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,0.00,615,632,1.22E-03,98.00,97.2,6,7/12/10,3,Satish Dhawan Space Centre,PSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISSat-2,Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,0.00,625,631,4.29E-04,98.40,97.27,6,7/8/14,3,Baikonur Cosmodrome,Soyuz-2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-1,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,LEO,0.00,599,626,1.93E-03,82.40,96.9,,12/28/13,,Plesetsk Cosmodrome,"Soyuz 2,1v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-2,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,LEO,0.00,558,582,1.73E-03,64.88,96.06,53,4/19/13,3,Baikonur Cosmodrome,Soyuz 2.1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-2D,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,LEO,0.00,471,486,1.10E-03,97.28,94.18,531,4/27/16,,Vostochny Cosmodrome,Soyuz 2.1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISTechSat-2,Spain,AISTech,Commercial,Earth Observation,LEO,0.00,574,592,1.29E-03,97.80,96.4,3,12/3/18,,Vandenberg AFB,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISTechSat-3,Spain,AISTech,Commercial,Earth Observation,LEO,0.00,490,506,1.16E-03,97.50,94.6,2,4/1/19,,Satish Dhawan Space Centre,PSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Yah-3,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,GEO,-20.00,"35,777","35,796",2.25E-04,0.00,1436,"3,795",1/25/18,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcomsat,Algeria,Algerian Space Agency (ASAL),Government,Communications,GEO,-24.80,"35,744","35,798",6.41E-04,0.04,1436.1,"5,225",12/10/17,15,Xichang Satellite Launch Center,Long March 3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALE-2,Japan,Astro Live Experiences,Commercial,Earth Science,LEO,0.00,397,414,1.25E-03,97.01,92.06,75,12/6/19,,Rocket Lab Launch Complex 1,Electron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Farabi-2,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,LEO,0.00,573,589,1.15E-03,97.70,96.2,4,12/3/18,,Vandenberg AFB,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALiCE,USA,US Air Force Institute of Technology,Military,Technology Development,LEO,0.00,443,886,3.15E-02,120.30,98,5,12/6/13,,Vandenberg AFB,Atlas 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat-2B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,0.00,646,660,9.97E-04,98.20,97.7,117,9/26/16,5,Satish Dhawan Space Centre,PSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat-1B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,0.00,661,704,3.05E-03,98.20,98.4,103,9/26/16,5,Satish Dhawan Space Centre,PSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlSat-1N,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,LEO,0.00,661,698,2.62E-03,98.20,98.3,10,9/26/16,,Satish Dhawan Space Centre,PSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat-2A,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,0.00,672,674,1.42E-04,98.10,98.2,130,7/12/10,5,Satish Dhawan Space Centre,PSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-2,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,-61.00,"35,767","35,805",4.51E-04,0.03,1436.08,"5,465",10/1/09,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-3,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,-61.00,"35,781","35,791",1.19E-04,0.03,1436.05,"6,265",2/7/13,15,Guiana Space Center,Ariane 5 ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-4A,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,-61.00,"35,784","35,795",1.30E-04,0.08,1436.24,"2,938",3/22/14,15,Guiana Space Center,Ariane 5 ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-5,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,-61.00,"35,785","35,789",4.74E-05,0.04,1436.11,"5,900",9/12/17,15,Baikonur Cosmodrome,Proton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-1,USA,SES S.A.,Commercial,Communications,GEO,-129.15,"35,772","35,800",3.32E-04,0.03,1436.1,"2,783",9/8/96,15,Cape Canaveral,Atlas 2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-11,USA,SES S.A.,Commercial,Communications,GEO,-130.93,"35,774","35,797",2.73E-04,0.04,1436.07,"2,340",5/19/04,15,Cape Canaveral,Atlas 2AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-15,USA,SES S.A.,Commercial,Communications,GEO,-105.04,"35,777","35,795",2.13E-04,0.04,1436.08,"4,200",10/14/04,15,Baikonur Cosmodrome,Proton M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-16,USA,SES S.A.,Commercial,Communications,GEO,-84.98,"35,780","35,793",1.54E-04,0.02,1436.1,"4,312",12/17/04,15,Cape Canaveral,Atlas 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-18,USA,SES S.A.,Commercial,Communications,GEO,-104.97,"35,773","35,800",3.20E-04,0.06,1436.1,"2,081",12/8/06,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-2,USA,SES S.A.,Commercial,Communications,GEO,-100.98,"35,774","35,798",2.85E-04,0.05,1436.1,"2,648",1/30/97,15,Guiana Space Center,Ariane 44L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-21,USA,SES S.A.,Commercial,Communications,GEO,-124.86,"35,778","35,793",1.78E-04,3.00,1436.1,"2,500",8/14/08,15,Guiana Space Center,Ariane 5 ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-4,USA,SES S.A./Gogo,Commercial,Communications,GEO,-100.99,"35,781","35,791",1.19E-04,0.01,1436.1,"3,909",11/13/99,15,Guiana Space Center,Ariane 44LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-6,USA,SES S.A.,Commercial,Communications,GEO,-71.98,"35,778","35,795",2.02E-04,0.05,1436.12,"3,901",10/22/00,15,Baikonur Cosmodrome,Proton K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-8,USA,SES S.A.,Commercial,Communications,GEO,-139.00,"35,773","35,798",2.97E-04,0.03,1436.07,"2,015",12/19/00,15,Guiana Space Center,Ariane 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmGU-1,Russia,Moscow State University,Civil,Space Science,LEO,0.00,514,547,2.39E-03,97.50,95.2,4,7/5/19,,Vostochny Cosmodrome,Soyuz 2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 17,Israel,Space-Communication Ltd.,Military/Commercial,Communications,GEO,17.00,"35,777","35,793",1.90E-04,0.00,1436.04,"6,500",8/6/19,20,Cape Canaveral,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 3,Israel,Space-Communication Ltd.,Military/Commercial,Communications,GEO,-3.99,"35,783","35,789",7.12E-05,0.04,1436.1,,4/28/08,12,Baikonur Cosmodrome,Zenit 3SLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amos 4,Israel,Space-Communication Ltd.,Military/Commercial,Communications,GEO,65.00,"35,633","35,796",1.94E-03,0.01,1432,,8/31/13,12,Baikonur Cosmodrome,Zenit 2SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsat-Oscar 7,USA,AMSAT-NA,Civil,Communications,LEO,0.00,"1,440","1,459",1.21E-03,101.40,114.9,29,11/15/74,,Vandenberg AFB,Delta 2310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANASIS-II,South Korea,Agency for Defense Development,Military,Communications,GEO,115.90,"35,781","35,792",1.30E-04,0.01,1436.1,,7/20/20,15,Cape Canaveral,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDESITE Mule,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,LEO,0.00,582,600,1.29E-03,97.70,96.5,9,6/13/20,,Rocket Lab Launch Complex 1,Electron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELS,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,LEO,0.00,509,524,1.09E-03,97.40,94.9,18,12/18/19,,Guiana Space Center,Soyuz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-107.27,"35,778","35,793",1.78E-04,0.02,1436.08,"4,710",11/21/00,15,Guiana Space Center,Ariane 44L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-107.30,"35,777","35,795",2.13E-04,0.02,1436.1,"4,500",9/9/05,15,Baikonur Cosmodrome,Proton M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-111.07,"35,781","35,790",1.07E-04,0.01,1436.08,"5,910",7/18/04,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-118.69,"35,778","35,794",1.90E-04,0.01,1436.1,"4,715",4/9/07,15,Baikonur Cosmodrome,Proton M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik G1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-107.30,"35,773","35,799",3.08E-04,0.01,1436.08,"4,905",4/15/13,15,Baikonur Cosmodrome,Proton M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoba-VELOX 4,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,LEO,0.00,481,513,2.33E-03,97.30,94.6,3,1/18/19,,Uchinoura Space Center,Epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 1,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,LEO,0.00,696,764,4.79E-03,98.00,99.4,12,6/29/04,,Baikonur Cosmodrome,Dnepr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 10,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,0.00,613,733,8.52E-03,97.90,98,12,6/19/14,,Dombarovsky Air Base,Dnepr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 2,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,LEO,0.00,694,850,1.09E-02,98.20,100.3,12,6/29/04,,Baikonur Cosmodrome,Dnepr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 3,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,0.00,559,662,7.38E-03,98.18,97,12,7/29/09,,Baikonur Cosmodrome,Dnepr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
